Gene_id	Max_aMAFC	Max_Time	PassMaxtime	On_trans	Off_trans	12B-10G_MaxVal	12B-3D7B_MaxVal	10G-3D7B_MaxVal	12B-10G_MaxTime	12B-3D7B_MaxTime	10G-3D7B_MaxTime	A7-B11_MaxVal	A7-E5_MaxVal	A7-B11_MaxTime	A7-E5_MaxTime	E5-B11_MaxVal	E5-B11_MaxTime	Is_3D7B	Is_tRNA.x	Is_tRNA.y
PF3D7_0515000	0.10685230881535832	Mid	FALSE	E5	B11	-0.0874345857248073	0.101017718591419	0.0643575022062764	Left	Right	Right	0.0804152237221931	-0.103737170385509	Right	Left	0.106852308815358	Mid	FALSE	FALSE	FALSE
PF3D7_1451900	-0.1057057486414333	Mid	FALSE	E5	10G	0.0628586856450741	0.0754976071646082	-0.105705748641433	Left	Sides	Mid	-0.0823189982910622	-0.0789513577425539	Right	Sides	0.0931471476649743	Left	TRUE	FALSE	FALSE
PF3D7_1139800	0.1055462944912746	Mid	FALSE	E5	B11	-0.10509319939115	-0.0878746111469534	0.0881638294915082	Sides	Left	Sides	0.0886697314475587	-0.0917411784631381	Left	Right	0.105546294491275	Mid	FALSE	FALSE	FALSE
PF3D7_1358100	-0.10544251967875563	Sides	FALSE	A7	12B	-0.0984035893812815	-0.105442519678756	0.0592460219574741	Sides	Sides	Left	0.0899944277189222	-0.0642491244470156	Sides	Left	0.0938430764019692	Left	TRUE	FALSE	FALSE
PF3D7_1425400	0.1053467843288728	Mid	FALSE	E5	B11	0.0167384302993409	-0.0685085649039407	-0.0773424004311852	Sides	Left	Left	-0.0615164610377365	-0.0944584416768634	Right	Mid	0.105346784328873	Mid	FALSE	FALSE	FALSE
PF3D7_0807000	-0.10526663101935844	Left	FALSE	B11	A7	0.0667629648203482	0.075392550898711	-0.0354456694717108	Right	Right	Left	-0.105266631019358	-0.0444304797146161	Left	Sides	-0.0923282408232203	Mid	FALSE	FALSE	FALSE
PF3D7_1423800	0.10478154185131858	Sides	FALSE	10G	E5	-0.0947202856812296	-0.104414313587156	0.104781541851319	Right	Right	Sides	0.0567552350375945	-0.0438129947983962	Mid	Mid	0.100568229835991	Mid	TRUE	FALSE	FALSE
PF3D7_1409600	0.10464059909028	Sides	FALSE	10G	E5	-0.0414563622790689	0.082182697185214107	0.10464059909028	Sides	Right	Sides	0.0385175634799111	-0.0870633539619686	Sides	Mid	0.0840838125774632	Mid	TRUE	FALSE	FALSE
PF3D7_1237500	0.10405792720811748	Sides	FALSE	A7	B11	-0.0996480001040327	-0.0972821039078096	0.0799592395514963	Right	Right	Left	0.104057927208117	-0.0931469597257406	Sides	Mid	0.060901279997589	Left	FALSE	FALSE	FALSE
PF3D7_1249800	0.1038499828217108	Mid	FALSE	E5	B11	0.0254082523203941	-0.0646757067136867	-0.0900839590340807	Sides	Sides	Sides	0.078734883186544	0.100521111117791	Sides	Sides	0.103849982821711	Mid	FALSE	FALSE	FALSE
PF3D7_0505100	-0.10376979716742672	Right	FALSE	10G	12B	-0.103769797167427	-0.0845711804023304	0.0489974099347288	Right	Right	Mid	-0.0436237665179229	-0.0669466520923412	Left	Mid	0.0415280715960828	Right	FALSE	FALSE	FALSE
PF3D7_0728900	-0.10350656912210214	Mid	FALSE	E5	A7	-0.0635433502559556	-0.0318627520125037	0.0527480722184815	Right	Mid	Right	-0.0814511262053116	-0.103506569122102	Right	Mid	-0.0659311041305214	Sides	FALSE	FALSE	FALSE
